a.	[ə.]	n. 天主教徒
abandon	[əˈbændən]	v. 离弃，丢弃；遗弃，抛弃；放弃 ｜n. 放任；狂热
abdomen	[ˈæbdəmən]	n. 腹，下腹
abide	[əˈbaɪd]	v. 忍受，容忍；停留；遵守
abnormal	[æbˈnɔrməl]	adj. 反常的， 不正常的
aboard	[əˈbɔrd]	adv. 在飞机上；[船] 在船上；在火车上 ｜prep. 在…上
abolish	[əˈbɑlɪʃ]	v. 废除，废止；取消，革除
abound	[əˈbaʊnd]	v. 富于；充满
abroad	[əˈbrɔd]	adv. 在国外；到海外 ｜adj. 往国外的 ｜n. 海外；异国
abrupt	[əˈbrəpt]	adj. 生硬的；突然的；唐突的；陡峭的
absence	[ˈæbsəns]	n. 缺席，不在；缺乏，不存在
absent	[ˈæbsənt]	adj. 缺席的；缺乏的，不在场的；心不在焉的 ｜v. 使缺席
absorb	[əbˈzɔrb]	v. 吸收；吸引；承受；理解；使…全神贯注
abstract	[ˈæbˌstrækt]	adj. 抽象的 ｜n. 摘要，梗概 ｜v. 提取,摘录要点
absurd	[əbˈsərd]	adj. 荒谬的；可笑的 ｜n. 荒诞；荒诞作品
abundance	[əˈbəndəns]	n. 充裕，丰富
abundant	[əˈbəndənt]	adj. 丰富的；充裕的；盛产
accelerate	[ækˈsɛlərˌeɪt]	v. 使加速，使增速，促进；加速
accelerator	[əkˈseləreɪtə]	n. 加速器
accent	[ˈækˌsɛnt]	n. 口音；重音；强调；特点；重音符号 ｜v. 强调；重读；带…口音讲话
acceptance	[əkˈsɛptəns]	n. 正式接受；接纳；接受，赞同，赞成，认可
accessory	[ækˈsɛsəri]	n. 附件,附属品；装饰物，小配件 ｜adj. 副的；同谋的；附属的
accidental	[ˌæksəˈdɛnəl]	adj. 偶然的；意外的；无意中的 ｜n. 次要方面；非主要的特性；临时记号
acclaim	[əˈkleɪm]	v. 称赞；为…喝彩，向…欢呼 ｜n. 欢呼，喝彩；称赞
accommodate	[əˈkɑməˌdeɪt]	v. 向…提供住处
accommodation	[əˌkɑməˈdeɪʃən]	n. 住宿，膳宿供应
accompany	[əˈkəmpəni]	v. 陪伴，陪同,伴随；伴奏
accomplish	[əˈkɑmplɪʃ]	v. 完成；实现；达到
